港澳台,#genre#
凤凰中文,http://r.jdshipin.com/cCCzW
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://r.jdshipin.com/n90gt
J2,https://o11.163189.xyz/stream/tvb/tvbp/

本地,#genre#
广东珠江,http://r.jdshipin.com/sE5vO
广东体育,http://r.jdshipin.com/LiYdg

海外及港澳台,#genre#
J2,http://fm1077.serv00.net/Smart.php?id=j2_twn
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8#http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8?#http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8?#http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8#http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
三立台湾,https://haoyunlai.serv00.net/Smartv-1.php?id=sanlitaiwan#https://stream1.freetv.fun/san-li-tai-wan-5.m3u8
三立新闻,https://stream1.freetv.fun/san-li-xin-wen-3.m3u8
东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-3.m3u8
东森综合,https://haoyunlai.serv00.net/Smartv-1.php?id=ettvzhonghe
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8
凤凰中文,http://www.terrykang.cn:5678/sxg.php?id=test1_4000#http://php.jdshipin.com/TVOD/iptv.php?id=fhzw#http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰卫视,http://119.32.12.17:2901/udp/224.1.100.3:11111#http://cdn.132.us.kg/live/fhzw/stream.m3u8#https://stream1.freetv.fun/08e5440bb83a804440e341ae792cffc38d6844b04d5a2c7a4fc5ee04a6fe6bc6.m3u8
凤凰资讯,http://www.terrykang.cn:5678/sxg.php?id=test2_4000
凤凰香港,http://r.jdshipin.com/yDoTN#http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk#http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn#http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct#http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3#http://php.jdshipin.com/TVOD/iptv.php?id=fct3

其他国家及地区源,#genre#
8TV (Malaysia),http://cdn6.163189.xyz/163189/8tv
Animax Asia India (Singapore),https://amg02159-kcglobal-amg02159c1-samsung-in-521.playouts.now.amagi.tv/playlist/amg02159-kcglobal-animax-samsungin/playlist.m3u8
Aniplus Asia (Singapore),https://amg18481-amg18481c1-amgplt0352.playout.now3.amagi.tv/playlist/amg18481-amg18481c1-amgplt0352/playlist.m3u8
Beautiful Life TV (Taiwan),https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
CGNTV Chinese (Taiwan),https://d3e05csss9c272.cloudfront.net/out/v1/f0bf71c57581470fb9379f603e8f5d83/CGNWebLiveCN.m3u8
CNA (Singapore),https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
CNA Originals (Singapore),https://amg01082-cna-amg01082c1-rlaxx-us-11304.playouts.now.amagi.tv/playlist.m3u8#https://amg01082-cna-amg01082c1-vidaa-gb-7580.playouts.now.amagi.tv/playlist.m3u8
CNBC Asia (Singapore),https://liveh34.vtvprime.vn/hls/CNBC/03.m3u8
Crime + Investigation Asia HD (Singapore),https://cdn09jtedge.indihometv.com/joss/133/crimeinvestigation/index.m3u8
Dali TV (Taiwan),http://www.dalitv.com.tw:4568/live/dali/index.m3u8
Maah TV (Malaysia),https://hls.maahtv.live/hls/stream.m3u8
RTHK TV 31 (Hong Kong),https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/master.m3u8
RTM ASEAN (Malaysia),https://d25tgymtnqzu8s.cloudfront.net/event/smil:event1/chunklist_b2596000_slENG.m3u8
Sukan RTM (Malaysia),https://d25tgymtnqzu8s.cloudfront.net/smil:sukan/manifest.mpd
TV1 (Malaysia),https://d25tgymtnqzu8s.cloudfront.net/smil:tv1/manifest.mpd
TV2 (Malaysia),https://d25tgymtnqzu8s.cloudfront.net/smil:tv2/manifest.mpd
TVBS Asia (Taiwan),http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
meWATCH LIVE 1 (Singapore),https://tglmp04.akamaized.net/out/v1/898b1cbac7c747e3b1f3deb460e9b67e/manifest.mpd
唯心電視 (Taiwan),https://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
